status,file_name,timestamp,user,ip,action,event,details
Image saved,decoded_image_1207038227940026585.jpg,,,,,,
,,2024-11-18T05:09:49.994541,user_639,244.92.54.27,ERROR,,
,,2024-11-18T10:37:33.994547,user_686,107.208.230.77,,purchase,"{'item_id': 7451, 'quantity': 3, 'price': 517.19}"
Image saved,decoded_image_-3939311005076070976.jpg,,,,,,
Image saved,decoded_image_7240409145555603742.jpg,,,,,,
,,2024-11-18T13:02:23.994610,user_736,150.47.141.80,,logout,"{'item_id': 7992, 'quantity': 3, 'price': 437.89}"
,,2024-11-19T00:05:18.994628,user_325,248.252.120.243,STOP,,
,,2024-11-19T07:07:37.994632,user_654,65.227.236.14,,login,"{'item_id': 4537, 'quantity': 2, 'price': 304.73}"
,,2024-11-17T22:57:09.994641,user_264,175.212.47.86,,purchase,"{'item_id': 3905, 'quantity': 4, 'price': 804.66}"
,,2024-11-19T13:39:49.994650,user_22,85.210.52.53,STOP,,
Image saved,decoded_image_-3319957120517887711.jpg,,,,,,
Image saved,decoded_image_-9057462533385904271.jpg,,,,,,
Image saved,decoded_image_-7542870778857318933.jpg,,,,,,
,,2024-11-17T21:34:47.994702,user_551,56.82.35.39,ERROR,,
Image saved,decoded_image_-3999689831789764143.jpg,,,,,,
,,2024-11-17T23:25:20.994730,user_580,191.200.40.190,START,,
Image saved,decoded_image_8009171655078171137.jpg,,,,,,
Image saved,decoded_image_309084190077897008.jpg,,,,,,
Image saved,decoded_image_5047656145882988245.jpg,,,,,,
Image saved,decoded_image_449043862814418194.jpg,,,,,,
,,2024-11-17T20:17:49.994777,user_461,156.46.253.133,,error,"{'item_id': 5483, 'quantity': 1, 'price': 256.02}"
,,2024-11-17T17:54:29.994783,user_223,179.63.213.37,START,,
,,2024-11-19T15:43:06.994794,user_120,9.23.194.63,ERROR,,
,,2024-11-18T01:56:14.994807,user_103,197.46.189.26,,update,"{'item_id': 5661, 'quantity': 3, 'price': 938.88}"
